24K - Local Price/Sell,24K - Local Price/Buy,22K - Local Price/Sell,22K - Local Price/Buy,21K - Local Price/Sell,21K - Local Price/Buy,18K - Local Price/Sell,18K - Local Price/Buy,14K - Local Price/Sell,14K - Local Price/Buy,12K - Local Price/Sell,12K - Local Price/Buy
1394.0,1401.0,1278.0,1284.0,1220.0,1226.0,1046.0,1051.0,813.0,817.0,697.0,701.0
1398.0,1402.0,1281.0,1285.0,1223.0,1227.0,1048.0,1052.0,815.0,818.0,699.0,701.0
1431.0,1435.0,1312.0,1316.0,1252.0,1256.0,1073.0,1077.0,835.0,837.0,715.0,718.0
1446.0,1457.0,1325.0,1336.0,1265.0,1275.0,1084.0,1093.0,843.0,850.0,723.0,729.0
1429.0,1440.0,1310.0,1320.0,1250.0,1260.0,1071.0,1080.0,833.0,840.0,714.0,720.0
1438.0,1442.0,1318.0,1322.0,1258.0,1262.0,1078.0,1082.0,839.0,841.0,719.0,721.0
1442.0,1449.0,1322.0,1328.0,1262.0,1268.0,1082.0,1087.0,841.0,845.0,721.0,725.0
1438.0,1445.0,1318.0,1324.0,1258.0,1264.0,1078.0,1083.0,839.0,843.0,719.0,722.0
1449.0,1454.0,1328.0,1333.0,1268.0,1272.0,1087.0,1090.0,845.0,848.0,725.0,727.0
1466.0,1471.0,1344.0,1348.0,1283.0,1287.0,1100.0,1103.0,855.0,858.0,733.0,735.0
1475.0,1480.0,1349.0,1354.0,1290.0,1294.0,1106.0,1109.0,859.0,861.0,736.0,738.0
1472.0,1477.0,1349.0,1354.0,1288.0,1292.0,1104.0,1107.0,859.0,861.0,736.0,738.0
1491.0,1498.0,1367.0,1373.0,1305.0,1311.0,1119.0,1124.0,870.0,874.0,746.0,749.0
1520.0,1527.0,1393.0,1400.0,1330.0,1336.0,1140.0,1145.0,887.0,891.0,760.0,763.0
1549.0,1560.0,1420.0,1430.0,1355.0,1365.0,1161.0,1170.0,903.0,910.0,774.0,780.0
1589.0,1600.0,1456.0,1467.0,1390.0,1400.0,1191.0,1200.0,927.0,933.0,794.0,800.0
1629.0,1640.0,1493.0,1503.0,1425.0,1435.0,1221.0,1230.0,950.0,957.0,814.0,820.0
1638.0,1649.0,1501.0,1512.0,1433.0,1443.0,1228.0,1237.0,955.0,962.0,819.0,825.0
1669.0,1691.0,1530.0,1550.0,1460.0,1480.0,1251.0,1269.0,973.0,987.0,834.0,846.0
1646.0,1691.0,1509.0,1550.0,1440.0,1480.0,1234.0,1269.0,960.0,987.0,823.0,846.0
1651.0,1674.0,1514.0,1535.0,1445.0,1465.0,1239.0,1256.0,963.0,977.0,826.0,837.0
1691.0,1703.0,1550.0,1561.0,1480.0,1490.0,1269.0,1277.0,987.0,993.0,846.0,851.0
1746.0,1758.0,1601.0,1611.0,1528.0,1538.0,1310.0,1318.0,1019.0,1025.0,873.0,879.0
1806.0,1829.0,1655.0,1676.0,1580.0,1600.0,1354.0,1371.0,1053.0,1067.0,903.0,914.0
1840.0,1863.0,1687.0,1708.0,1610.0,1630.0,1380.0,1397.0,1073.0,1087.0,920.0,931.0
1920.0,1966.0,1760.0,1802.0,1680.0,1720.0,1440.0,1474.0,1120.0,1147.0,960.0,983.0
2034.0,2091.0,1865.0,1917.0,1780.0,1830.0,1526.0,1569.0,1187.0,1220.0,1017.0,1046.0
1966.0,2023.0,1802.0,1854.0,1720.0,1770.0,1474.0,1517.0,1147.0,1180.0,983.0,1011.0
1920.0,1966.0,1760.0,1802.0,1680.0,1720.0,1440.0,1474.0,1120.0,1147.0,960.0,983.0
1840.0,1897.0,1687.0,1739.0,1610.0,1660.0,1380.0,1423.0,1073.0,1107.0,920.0,949.0
1886.0,1954.0,1729.0,1791.0,1650.0,1710.0,1414.0,1466.0,1100.0,1140.0,943.0,977.0
1886.0,1954.0,1729.0,1791.0,1650.0,1710.0,1414.0,1466.0,1100.0,1140.0,943.0,977.0
1886.0,1954.0,1729.0,1791.0,1650.0,1710.0,1414.0,1466.0,1100.0,1140.0,943.0,977.0
1886.0,1931.0,1729.0,1770.0,1650.0,1690.0,1414.0,1449.0,1100.0,1127.0,943.0,966.0
1874.0,1897.0,1718.0,1739.0,1640.0,1660.0,1406.0,1423.0,1093.0,1107.0,937.0,949.0
1897.0,1954.0,1739.0,1791.0,1660.0,1710.0,1423.0,1466.0,1107.0,1140.0,949.0,977.0
2114.0,2143.0,1938.0,1964.0,1850.0,1875.0,1586.0,1607.0,1233.0,1250.0,1057.0,1071.0
2091.0,2126.0,1917.0,1949.0,1830.0,1860.0,1569.0,1594.0,1220.0,1240.0,1046.0,1063.0
2000.0,2057.0,1833.0,1886.0,1750.0,1800.0,1500.0,1543.0,1167.0,1200.0,1000.0,1029.0
1943.0,2000.0,1781.0,1833.0,1700.0,1750.0,1457.0,1500.0,1133.0,1167.0,971.0,1000.0
1874.0,1897.0,1718.0,1739.0,1640.0,1660.0,1406.0,1423.0,1093.0,1107.0,937.0,949.0
1966.0,1989.0,1802.0,1823.0,1720.0,1740.0,1474.0,1491.0,1147.0,1160.0,983.0,994.0
1989.0,2034.0,1823.0,1865.0,1740.0,1780.0,1491.0,1526.0,1160.0,1187.0,994.0,1017.0
1966.0,2000.0,1802.0,1833.0,1720.0,1750.0,1474.0,1500.0,1147.0,1167.0,983.0,1000.0
1920.0,1954.0,1760.0,1791.0,1680.0,1710.0,1440.0,1466.0,1120.0,1140.0,960.0,977.0
1886.0,1920.0,1729.0,1760.0,1650.0,1680.0,1414.0,1440.0,1100.0,1120.0,943.0,960.0
1863.0,1897.0,1708.0,1739.0,1630.0,1660.0,1397.0,1423.0,1087.0,1107.0,931.0,949.0
1749.0,1783.0,1603.0,1634.0,1530.0,1560.0,1311.0,1337.0,1020.0,1040.0,874.0,891.0
1800.0,1834.0,1650.0,1681.0,1575.0,1605.0,1350.0,1376.0,1050.0,1070.0,900.0,917.0
1766.0,1789.0,1619.0,1640.0,1545.0,1565.0,1324.0,1341.0,1030.0,1043.0,883.0,894.0
1829.0,1851.0,1676.0,1697.0,1600.0,1620.0,1371.0,1389.0,1067.0,1080.0,914.0,926.0
1886.0,1920.0,1729.0,1760.0,1650.0,1680.0,1414.0,1440.0,1100.0,1120.0,943.0,960.0
1886.0,1920.0,1729.0,1760.0,1650.0,1680.0,1414.0,1440.0,1100.0,1120.0,943.0,960.0
1886.0,1920.0,1729.0,1760.0,1650.0,1680.0,1414.0,1440.0,1100.0,1120.0,943.0,960.0
1869.0,1914.0,1713.0,1755.0,1635.0,1675.0,1401.0,1436.0,1090.0,1117.0,934.0,957.0
1880.0,1891.0,1723.0,1734.0,1645.0,1655.0,1410.0,1419.0,1097.0,1103.0,940.0,946.0
1954.0,1989.0,1791.0,1823.0,1710.0,1740.0,1466.0,1491.0,1140.0,1160.0,977.0,994.0
1966.0,2011.0,1802.0,1844.0,1720.0,1760.0,1474.0,1509.0,1147.0,1173.0,983.0,1006.0
1989.0,2034.0,1823.0,1865.0,1740.0,1780.0,1491.0,1526.0,1160.0,1187.0,994.0,1017.0
2034.0,2069.0,1865.0,1896.0,1780.0,1810.0,1526.0,1551.0,1187.0,1207.0,1017.0,1034.0
2023.0,2057.0,1854.0,1886.0,1770.0,1800.0,1517.0,1543.0,1180.0,1200.0,1011.0,1029.0
1960.0,1994.0,1797.0,1828.0,1715.0,1745.0,1470.0,1496.0,1143.0,1163.0,980.0,997.0
1960.0,1994.0,1797.0,1828.0,1715.0,1745.0,1470.0,1496.0,1143.0,1163.0,980.0,997.0
1943.0,1966.0,1781.0,1802.0,1700.0,1720.0,1457.0,1474.0,1133.0,1147.0,971.0,983.0
2057.0,2091.0,1886.0,1917.0,1800.0,1830.0,1543.0,1569.0,1200.0,1220.0,1029.0,1046.0
2080.0,2103.0,1907.0,1928.0,1820.0,1840.0,1560.0,1577.0,1213.0,1227.0,1040.0,1051.0
2080.0,2114.0,1907.0,1938.0,1820.0,1850.0,1560.0,1586.0,1213.0,1233.0,1040.0,1057.0
2069.0,2103.0,1896.0,1928.0,1810.0,1840.0,1551.0,1577.0,1207.0,1227.0,1034.0,1051.0
2057.0,2080.0,1886.0,1907.0,1800.0,1820.0,1543.0,1560.0,1200.0,1213.0,1029.0,1040.0
2000.0,2023.0,1833.0,1854.0,1750.0,1770.0,1500.0,1517.0,1167.0,1180.0,1000.0,1011.0
2023.0,2046.0,1854.0,1875.0,1770.0,1790.0,1517.0,1534.0,1180.0,1193.0,1011.0,1023.0
2034.0,2057.0,1865.0,1886.0,1780.0,1800.0,1526.0,1543.0,1187.0,1200.0,1017.0,1029.0
1989.0,2023.0,1823.0,1854.0,1740.0,1770.0,1491.0,1517.0,1160.0,1180.0,994.0,1011.0
2017.0,2040.0,1849.0,1870.0,1765.0,1785.0,1513.0,1530.0,1177.0,1190.0,1009.0,1020.0
2011.0,2034.0,1844.0,1865.0,1760.0,1780.0,1509.0,1526.0,1173.0,1187.0,1006.0,1017.0
2011.0,2034.0,1844.0,1865.0,1760.0,1780.0,1509.0,1526.0,1173.0,1187.0,1006.0,1017.0
2017.0,2029.0,1849.0,1860.0,1765.0,1775.0,1513.0,1521.0,1177.0,1183.0,1009.0,1014.0
2017.0,2029.0,1849.0,1860.0,1765.0,1775.0,1513.0,1521.0,1177.0,1183.0,1009.0,1014.0
1994.0,2006.0,1828.0,1839.0,1745.0,1755.0,1496.0,1504.0,1163.0,1170.0,997.0,1003.0
1994.0,2006.0,1828.0,1839.0,1745.0,1755.0,1496.0,1504.0,1163.0,1170.0,997.0,1003.0
1994.0,2006.0,1828.0,1839.0,1745.0,1755.0,1496.0,1504.0,1163.0,1170.0,997.0,1003.0
2000.0,2011.0,1833.0,1844.0,1750.0,1760.0,1500.0,1509.0,1167.0,1173.0,1000.0,1006.0
2000.0,2011.0,1833.0,1844.0,1750.0,1760.0,1500.0,1509.0,1167.0,1173.0,1000.0,1006.0
1960.0,1983.0,1797.0,1818.0,1715.0,1735.0,1470.0,1487.0,1143.0,1157.0,980.0,991.0
1931.0,1954.0,1770.0,1791.0,1690.0,1710.0,1449.0,1466.0,1127.0,1140.0,966.0,977.0
1977.0,1989.0,1812.0,1823.0,1730.0,1740.0,1483.0,1491.0,1153.0,1160.0,989.0,994.0
1989.0,2011.0,1823.0,1844.0,1740.0,1760.0,1491.0,1509.0,1160.0,1173.0,994.0,1006.0
1966.0,1989.0,1802.0,1823.0,1720.0,1740.0,1474.0,1491.0,1147.0,1160.0,983.0,994.0
1931.0,1954.0,1770.0,1791.0,1690.0,1710.0,1449.0,1466.0,1127.0,1140.0,966.0,977.0
1943.0,1954.0,1781.0,1791.0,1700.0,1710.0,1457.0,1466.0,1133.0,1140.0,971.0,977.0
1949.0,1960.0,1786.0,1797.0,1705.0,1715.0,1461.0,1470.0,1137.0,1143.0,974.0,980.0
1943.0,1954.0,1781.0,1791.0,1700.0,1710.0,1457.0,1466.0,1133.0,1140.0,971.0,977.0
1954.0,1966.0,1791.0,1802.0,1710.0,1720.0,1466.0,1474.0,1140.0,1147.0,977.0,983.0
1966.0,1977.0,1802.0,1812.0,1720.0,1730.0,1474.0,1483.0,1147.0,1153.0,983.0,989.0
1960.0,1971.0,1797.0,1807.0,1715.0,1725.0,1470.0,1479.0,1143.0,1150.0,980.0,986.0
1949.0,1960.0,1786.0,1797.0,1705.0,1715.0,1461.0,1470.0,1137.0,1143.0,974.0,980.0
1949.0,1960.0,1786.0,1797.0,1705.0,1715.0,1461.0,1470.0,1137.0,1143.0,974.0,980.0
1949.0,1960.0,1786.0,1797.0,1705.0,1715.0,1461.0,1470.0,1137.0,1143.0,974.0,980.0
1943.0,1954.0,1781.0,1791.0,1700.0,1710.0,1457.0,1466.0,1133.0,1140.0,971.0,977.0
1931.0,1943.0,1770.0,1781.0,1690.0,1700.0,1449.0,1457.0,1127.0,1133.0,966.0,971.0
1920.0,1931.0,1760.0,1770.0,1680.0,1690.0,1440.0,1449.0,1120.0,1127.0,960.0,966.0
1914.0,1926.0,1755.0,1765.0,1675.0,1685.0,1436.0,1444.0,1117.0,1123.0,957.0,963.0
1920.0,1931.0,1760.0,1770.0,1680.0,1690.0,1440.0,1449.0,1120.0,1127.0,960.0,966.0
1920.0,1931.0,1760.0,1770.0,1680.0,1690.0,1440.0,1449.0,1120.0,1127.0,960.0,966.0
1922.0,1929.0,1762.0,1768.0,1682.0,1688.0,1442.0,1447.0,1121.0,1125.0,961.0,965.0
1914.0,1926.0,1755.0,1765.0,1675.0,1685.0,1436.0,1444.0,1117.0,1123.0,957.0,963.0
1909.0,1920.0,1750.0,1760.0,1670.0,1680.0,1431.0,1440.0,1113.0,1120.0,954.0,960.0
1909.0,1920.0,1750.0,1760.0,1670.0,1680.0,1431.0,1440.0,1113.0,1120.0,954.0,960.0
1909.0,1915.0,1750.0,1756.0,1670.0,1676.0,1431.0,1437.0,1113.0,1117.0,954.0,958.0
1909.0,1915.0,1750.0,1756.0,1670.0,1676.0,1431.0,1437.0,1113.0,1117.0,954.0,958.0
1920.0,1943.0,1760.0,1781.0,1680.0,1700.0,1440.0,1457.0,1120.0,1133.0,960.0,971.0
1989.0,2023.0,1823.0,1854.0,1740.0,1770.0,1491.0,1517.0,1160.0,1180.0,994.0,1011.0
2023.0,2046.0,1854.0,1875.0,1770.0,1790.0,1517.0,1534.0,1180.0,1193.0,1011.0,1023.0
2069.0,2091.0,1896.0,1917.0,1810.0,1830.0,1551.0,1569.0,1207.0,1220.0,1034.0,1046.0
2080.0,2103.0,1907.0,1928.0,1820.0,1840.0,1560.0,1577.0,1213.0,1227.0,1040.0,1051.0
2091.0,2114.0,1917.0,1938.0,1830.0,1850.0,1569.0,1586.0,1220.0,1233.0,1046.0,1057.0
2086.0,2097.0,1912.0,1922.0,1825.0,1835.0,1564.0,1573.0,1217.0,1223.0,1043.0,1049.0
2057.0,2080.0,1886.0,1907.0,1800.0,1820.0,1543.0,1560.0,1200.0,1213.0,1029.0,1040.0
2114.0,2137.0,1938.0,1959.0,1850.0,1870.0,1586.0,1603.0,1233.0,1247.0,1057.0,1069.0
2097.0,2109.0,1922.0,1933.0,1835.0,1845.0,1573.0,1581.0,1223.0,1230.0,1049.0,1054.0
2114.0,2126.0,1938.0,1949.0,1850.0,1860.0,1586.0,1594.0,1233.0,1240.0,1057.0,1063.0
2114.0,2126.0,1938.0,1949.0,1850.0,1860.0,1586.0,1594.0,1233.0,1240.0,1057.0,1063.0
2149.0,2171.0,1970.0,1990.0,1880.0,1900.0,1611.0,1629.0,1253.0,1267.0,1074.0,1086.0
2177.0,2189.0,1996.0,2006.0,1905.0,1915.0,1633.0,1641.0,1270.0,1277.0,1089.0,1094.0
2183.0,2206.0,2001.0,2022.0,1910.0,1930.0,1637.0,1654.0,1273.0,1287.0,1091.0,1103.0
2189.0,2211.0,2006.0,2027.0,1915.0,1935.0,1641.0,1659.0,1277.0,1290.0,1094.0,1106.0
2217.0,2240.0,2032.0,2053.0,1940.0,1960.0,1663.0,1680.0,1293.0,1307.0,1109.0,1120.0
2354.0,2400.0,2158.0,2200.0,2060.0,2100.0,1766.0,1800.0,1373.0,1400.0,1177.0,1200.0
2343.0,2400.0,2148.0,2200.0,2050.0,2100.0,1757.0,1800.0,1367.0,1400.0,1171.0,1200.0
2354.0,2377.0,2158.0,2179.0,2060.0,2080.0,1766.0,1783.0,1373.0,1387.0,1177.0,1189.0
2246.0,2280.0,2059.0,2090.0,1965.0,1995.0,1684.0,1710.0,1310.0,1330.0,1123.0,1140.0
2269.0,2291.0,2080.0,2100.0,1985.0,2005.0,1701.0,1719.0,1323.0,1337.0,1134.0,1146.0
2303.0,2314.0,2111.0,2121.0,2015.0,2025.0,1727.0,1736.0,1343.0,1350.0,1151.0,1157.0
2286.0,2309.0,2095.0,2116.0,2000.0,2020.0,1714.0,1731.0,1333.0,1347.0,1143.0,1154.0
2286.0,2320.0,2095.0,2127.0,2000.0,2030.0,1714.0,1740.0,1333.0,1353.0,1143.0,1160.0
2263.0,2297.0,2074.0,2106.0,1980.0,2010.0,1697.0,1723.0,1320.0,1340.0,1131.0,1149.0
2354.0,2389.0,2158.0,2190.0,2060.0,2090.0,1766.0,1791.0,1373.0,1393.0,1177.0,1194.0
2377.0,2423.0,2179.0,2221.0,2080.0,2120.0,1783.0,1817.0,1387.0,1413.0,1189.0,1211.0
2423.0,2457.0,2221.0,2252.0,2120.0,2150.0,1817.0,1843.0,1413.0,1433.0,1211.0,1229.0
2491.0,2526.0,2284.0,2315.0,2180.0,2210.0,1869.0,1894.0,1453.0,1473.0,1246.0,1263.0
2446.0,2491.0,2242.0,2284.0,2140.0,2180.0,1834.0,1869.0,1427.0,1453.0,1223.0,1246.0
2434.0,2457.0,2231.0,2252.0,2130.0,2150.0,1826.0,1843.0,1420.0,1433.0,1217.0,1229.0
2423.0,2457.0,2221.0,2252.0,2120.0,2150.0,1817.0,1843.0,1413.0,1433.0,1211.0,1229.0
2497.0,2520.0,2289.0,2310.0,2185.0,2205.0,1873.0,1890.0,1457.0,1470.0,1249.0,1260.0
2480.0,2503.0,2273.0,2294.0,2170.0,2190.0,1860.0,1877.0,1447.0,1460.0,1240.0,1251.0
2451.0,2474.0,2247.0,2268.0,2145.0,2165.0,1839.0,1856.0,1430.0,1443.0,1226.0,1237.0
2457.0,2480.0,2252.0,2273.0,2150.0,2170.0,1843.0,1860.0,1433.0,1447.0,1229.0,1240.0
2457.0,2480.0,2252.0,2273.0,2150.0,2170.0,1843.0,1860.0,1433.0,1447.0,1229.0,1240.0
2463.0,2474.0,2258.0,2268.0,2155.0,2165.0,1847.0,1856.0,1437.0,1443.0,1231.0,1237.0
2474.0,2486.0,2268.0,2279.0,2165.0,2175.0,1856.0,1864.0,1443.0,1450.0,1237.0,1243.0
2514.0,2537.0,2305.0,2326.0,2200.0,2220.0,1886.0,1903.0,1467.0,1480.0,1257.0,1269.0
2571.0,2594.0,2357.0,2378.0,2250.0,2270.0,1929.0,1946.0,1500.0,1513.0,1286.0,1297.0
2594.0,2617.0,2378.0,2399.0,2270.0,2290.0,1946.0,1963.0,1513.0,1527.0,1297.0,1309.0
2583.0,2594.0,2368.0,2378.0,2260.0,2270.0,1937.0,1946.0,1507.0,1513.0,1291.0,1297.0
2583.0,2594.0,2368.0,2378.0,2260.0,2270.0,1937.0,1946.0,1507.0,1513.0,1291.0,1297.0
2651.0,2686.0,2430.0,2462.0,2320.0,2350.0,1989.0,2014.0,1547.0,1567.0,1326.0,1343.0
2611.0,2634.0,2394.0,2415.0,2285.0,2305.0,1959.0,1976.0,1523.0,1537.0,1306.0,1317.0
2686.0,2720.0,2462.0,2493.0,2350.0,2380.0,2014.0,2040.0,1567.0,1587.0,1343.0,1360.0
2760.0,2783.0,2530.0,2551.0,2415.0,2435.0,2070.0,2087.0,1610.0,1623.0,1380.0,1391.0
2777.0,2800.0,2546.0,2567.0,2430.0,2450.0,2083.0,2100.0,1620.0,1633.0,1389.0,1400.0
2777.0,2800.0,2546.0,2567.0,2430.0,2450.0,2083.0,2100.0,1620.0,1633.0,1389.0,1400.0
2731.0,2777.0,2504.0,2546.0,2390.0,2430.0,2049.0,2083.0,1593.0,1620.0,1366.0,1389.0
2811.0,2834.0,2577.0,2598.0,2460.0,2480.0,2109.0,2126.0,1640.0,1653.0,1406.0,1417.0
2834.0,2857.0,2598.0,2619.0,2480.0,2500.0,2126.0,2143.0,1653.0,1667.0,1417.0,1429.0
2869.0,2891.0,2630.0,2650.0,2510.0,2530.0,2151.0,2169.0,1673.0,1687.0,1434.0,1446.0
2971.0,3006.0,2724.0,2755.0,2600.0,2630.0,2229.0,2254.0,1733.0,1753.0,1486.0,1503.0
3086.0,3143.0,2829.0,2881.0,2700.0,2750.0,2314.0,2357.0,1800.0,1833.0,1543.0,1571.0
2914.0,2971.0,2671.0,2724.0,2550.0,2600.0,2186.0,2229.0,1700.0,1733.0,1457.0,1486.0
2994.0,3029.0,2745.0,2776.0,2620.0,2650.0,2246.0,2271.0,1747.0,1767.0,1497.0,1514.0
2994.0,3029.0,2745.0,2776.0,2620.0,2650.0,2246.0,2271.0,1747.0,1767.0,1497.0,1514.0
3000.0,3057.0,2750.0,2802.0,2625.0,2675.0,2250.0,2293.0,1750.0,1783.0,1500.0,1529.0
2994.0,3029.0,2745.0,2776.0,2620.0,2650.0,2246.0,2271.0,1747.0,1767.0,1497.0,1514.0
2994.0,3029.0,2745.0,2776.0,2620.0,2650.0,2246.0,2271.0,1747.0,1767.0,1497.0,1514.0
2994.0,3017.0,2745.0,2766.0,2620.0,2640.0,2246.0,2263.0,1747.0,1760.0,1497.0,1509.0
